price,diff_1_day,diff_7_day,diff_14_day,diff_30_day,ma_7_day,ma_14_day,ma_30_day,diff_ma_7_day,diff_ma_14_day,diff_ma_30_day,prediction,id,date,name
965,0.0,-16.0,20.0,3.0,977.1428571428572,970.1428571428572,951.5,-2.2857142857143344,1.4285714285714448,0.1000000000000227,965.0,52937,2024-07-27,Abyssal flesh
10959,356.0,904.0,1428.0,2977.0,10417.857142857143,10073.714285714286,9370.933333333332,129.14285714285688,102.0,99.23333333333176,10996.0,39067,2024-07-27,Adrenaline crystal
16279,0.0,440.0,440.0,440.0,16279.0,16059.0,15941.666666666666,62.85714285714312,31.42857142857065,14.66666666666606,16351.0,48241,2024-07-02,Arbuck potion (unf)
1466,-23.0,81.0,211.0,389.0,1475.571428571429,1388.428571428571,1297.1666666666667,11.571428571428669,15.071428571428442,12.966666666666695,1468.0,592,2024-07-27,Ashes
1928,0.0,66.0,66.0,139.0,1890.2857142857144,1876.142857142857,1839.7333333333331,9.428571428571331,4.714285714285779,4.633333333333439,1931.0,103,2024-07-27,Avantoe potion (unf)
2958,0.0,-43.0,-43.0,-43.0,2988.714285714286,2994.8571428571427,2998.133333333333,-6.142857142856883,-3.071428571428896,-1.433333333333394,2965.0,48578,2024-07-27,Avocado
790,0.0,7.0,-10.0,-66.0,786.0,787.7857142857143,798.3333333333334,1.0,-0.7142857142856656,-2.199999999999932,790.0,48925,2024-07-27,Beak snot
11476,0.0,-482.0,-482.0,-819.0,11476.0,11717.0,11935.4,-68.85714285714312,-34.42857142857065,-27.30000000000109,11480.0,37973,2024-07-23,Bloodweed potion (unf)
1225,0.0,-40.0,-40.0,-80.0,1225.0,1245.0,1271.6666666666667,-5.714285714285779,-2.8571428571428896,-2.666666666666515,1224.0,243,2024-07-24,Blue dragon scale
2662,-17.0,-8.0,130.0,258.0,2651.1428571428573,2635.285714285714,2519.9,-1.142857142856883,9.28571428571422,8.599999999999909,2663.0,48961,2024-07-27,Bomb vial
10362,128.0,362.0,425.0,980.0,10068.142857142857,10041.07142857143,9801.233333333334,51.71428571428624,30.35714285714312,32.66666666666606,10393.0,48926,2024-07-27,Bottled dinosaur roar
1580,0.0,14.0,14.0,14.0,1580.0,1573.0,1569.2666666666669,2.0,1.0,0.466666666666697,1583.0,4456,2024-07-18,Bowl of hot water
1328,0.0,61.0,122.0,235.0,1284.428571428571,1253.928571428571,1190.3,8.714285714285552,8.714285714285552,7.8333333333332575,1325.0,43993,2024-07-27,Bull horns
1251,0.0,-71.0,-25.0,-215.0,1274.7142857142858,1287.2857142857142,1312.3666666666666,-10.14285714285711,-1.785714285714448,-7.166666666666743,1250.0,6016,2024-07-27,Cactus spine
3189,0.0,122.0,122.0,76.0,3154.1428571428573,3110.5714285714284,3079.266666666667,17.42857142857156,8.71428571428578,2.5333333333337578,3199.0,107,2024-07-27,Cadantine potion (unf)
3775,0.0,-27.0,-27.0,-176.0,3775.0,3788.5,3845.366666666667,-3.8571428571426623,-1.9285714285715585,-5.866666666666333,3783.0,48586,2024-07-23,Carambola
1657,0.0,69.0,69.0,69.0,1657.0,1622.5,1604.1,9.85714285714289,4.928571428571331,2.2999999999999545,1664.0,11326,2024-07-11,Caviar
87,0.0,1.0,8.0,6.0,84.57142857142857,83.07142857142857,81.5,0.1428571428571388,0.5714285714285694,0.2000000000000028,84.0,43973,2024-07-27,Chinchompa residue
2403,0.0,-49.0,-49.0,-49.0,2403.0,2427.5,2440.5666666666666,-7.0,-3.5,-1.633333333333212,2405.0,48584,2024-07-23,Ciku
16666,0.0,447.0,671.0,419.0,16513.85714285714,16366.357142857143,16272.466666666667,63.8571428571413,47.92857142857247,13.966666666667152,16733.0,48211,2024-07-27,Clean arbuck
981,0.0,29.0,2.0,32.0,961.8571428571428,963.1428571428572,968.7666666666668,4.142857142857224,0.1428571428571103,1.066666666666606,982.0,261,2024-07-27,Clean avantoe
10726,0.0,435.0,439.0,-212.0,10663.857142857143,10477.42857142857,10549.233333333334,62.14285714285688,31.357142857141294,-7.0666666666656965,10776.0,37953,2024-07-27,Clean bloodweed
2077,0.0,50.0,136.0,40.0,2054.8571428571427,2023.5,2003.5,7.142857142856883,9.71428571428578,1.3333333333332575,2081.0,265,2024-07-27,Clean cadantine
6316,-78.0,63.0,54.0,363.0,6344.285714285715,6313.5,6152.2,9.0,3.857142857143117,12.099999999999454,6332.0,267,2024-07-27,Clean dwarf weed
4469,0.0,120.0,203.0,335.0,4443.285714285715,4390.785714285715,4281.666666666667,17.142857142857792,14.5,11.16666666666697,4486.0,21624,2024-07-27,Clean fellstalk
295,7.0,15.0,-3.0,3.0,283.0,287.7857142857143,289.1333333333333,2.142857142857167,-0.2142857142857224,0.0999999999999659,294.0,249,2024-07-27,Clean guam
3554,0.0,149.0,415.0,730.0,3480.8571428571427,3392.285714285714,3145.4666666666667,21.28571428571422,29.642857142856883,24.333333333333485,3560.0,255,2024-07-27,Clean harralander
848,0.0,29.0,34.0,105.0,833.2857142857143,824.5714285714286,795.0666666666667,4.142857142857224,2.428571428571445,3.5,848.0,259,2024-07-27,Clean irit
4838,0.0,314.0,442.0,778.0,4662.142857142857,4579.357142857143,4357.033333333334,44.85714285714221,31.57142857142844,25.933333333333398,4849.0,263,2024-07-27,Clean kwuarm
6026,39.0,-85.0,20.0,253.0,6039.714285714285,6084.428571428572,5939.033333333334,-12.142857142857792,1.4285714285715585,8.433333333333394,6046.0,2481,2024-07-27,Clean lantadyme
